Subject,Condition,Order,Start,k,Trial,x,Response,Reversal,RT
S51,simple,4,lejos,1,3,180,1,0,0.71366308000006
S51,simple,4,lejos,1,4,160,1,0,0.816280056999858
S51,simple,4,lejos,1,5,140,0,1,0.853559885999857
S51,simple,4,lejos,1,6,160,0,0,0.909514940999998
S51,simple,4,lejos,1,7,180,1,2,0.70675405799966
S51,simple,4,lejos,1,8,160,1,0,0.871724282999821
S51,simple,4,lejos,1,9,150,1,0,1.14824242899977
S51,simple,4,lejos,1,10,140,1,0,0.816057015000297
S51,simple,4,lejos,1,11,130,0,3,0.826004347999969
S51,simple,4,lejos,1,12,140,0,0,0.760010179000346
S51,simple,4,lejos,1,13,150,0,0,0.916814066999905
S51,simple,4,lejos,1,14,160,1,4,0.837469464999685
S51,simple,4,lejos,1,15,150,1,0,1.23869146600009
S51,simple,4,lejos,1,16,140,1,0,1.40401959099972
S51,simple,4,lejos,1,17,130,0,5,1.17917799999987
S51,simple,4,lejos,1,18,140,0,0,1.46153192800011
S51,simple,4,lejos,1,19,150,1,6,1.56061245000001
S51,simple,4,lejos,1,20,140,0,7,1.36591792299987
S51,simple,4,lejos,1,21,150,1,8,0.899436033000256
S51,simple,4,lejos,1,22,140,1,0,1.15393397199978
S51,simple,4,lejos,1,23,130,0,9,1.52594811100016
S51,simple,4,lejos,1,24,140,1,10,0.900969029000407
S51,simple,4,lejos,1,25,130,0,11,1.04784956699996
S51,simple,4,lejos,1,26,140,0,0,1.09862495799962
S51,simple,4,lejos,1,27,150,0,0,0.845997060000172
S51,simple,4,lejos,1,28,160,0,0,0.701413715999934
S51,simple,4,lejos,1,29,170,0,0,0.986499078000179
S51,simple,4,lejos,1,30,180,1,12,0.860137667000345
S52,simple,1,cerca,1,1,20,0,0,0.691774261999853
S52,simple,1,cerca,1,2,40,0,0,0.461510137999539
S52,simple,1,cerca,1,3,60,0,0,0.439373092999631
S52,simple,1,cerca,1,4,80,0,0,0.712669125000502
S52,simple,1,cerca,1,5,100,1,1,1.4604663629998
S52,simple,1,cerca,1,6,80,0,2,0.68464702700021
S52,simple,1,cerca,1,7,100,0,0,1.57234083499952
S52,simple,1,cerca,1,8,110,1,3,0.57595700300044
S52,simple,1,cerca,1,9,100,1,0,1.30893694799943
S52,simple,1,cerca,1,10,90,0,4,0.940153192000253
S52,simple,1,cerca,1,11,100,0,0,0.710305603999586
S52,simple,1,cerca,1,12,110,1,5,0.740893989000142
S52,simple,1,cerca,1,13,100,0,6,0.817180910000388
S52,simple,1,cerca,1,14,110,1,7,0.669897288000357
S52,simple,1,cerca,1,15,100,0,8,0.687417717999779
S52,simple,1,cerca,1,16,110,0,0,0.816356192000057
S52,simple,1,cerca,1,17,120,1,9,0.829731922000065
S52,simple,1,cerca,1,18,110,0,10,0.882915831000901
S52,simple,1,cerca,1,19,120,0,0,1.15301847499995
S52,simple,1,cerca,1,20,130,1,11,0.646320011000171
S52,simple,1,cerca,1,21,120,1,0,0.682411450000473
S52,simple,1,cerca,1,22,110,1,0,0.682710542000677
S52,simple,1,cerca,1,23,100,0,12,0.986767143999714
S52,simple,2,lejos,1,1,220,1,0,0.613488158999644
S52,simple,2,lejos,1,2,200,1,0,0.560266542000136
S52,simple,2,lejos,1,3,180,1,0,0.520002010000098
S52,simple,2,lejos,1,4,160,1,0,0.53758385799938
S52,simple,2,lejos,1,5,140,1,0,0.952980539000237
S52,simple,2,lejos,1,6,120,0,1,1.22122253299949
S52,simple,2,lejos,1,7,140,1,2,0.868643004999285
S52,simple,2,lejos,1,8,120,1,0,0.757296417999896
S52,simple,2,lejos,1,9,110,0,3,0.87286725299964
S52,simple,2,lejos,1,10,120,0,0,0.737406332999853
S52,simple,2,lejos,1,11,130,0,0,1.03987873500046
S52,simple,2,lejos,1,12,140,1,4,0.510185617000388
S52,simple,2,lejos,1,13,130,0,5,0.940265872000055
S52,simple,2,lejos,1,14,140,1,6,3.72012598299989
S52,simple,2,lejos,1,15,130,1,0,1.33608241799993
S52,simple,2,lejos,1,16,120,0,7,0.670637975999853
S52,simple,2,lejos,1,17,130,0,0,1.406256149
S52,simple,2,lejos,1,18,140,1,8,0.623109131000092
S52,simple,2,lejos,1,19,130,0,9,0.652847671000018
S52,simple,2,lejos,1,20,140,0,0,1.05420370000047
S52,simple,2,lejos,1,21,150,1,10,0.616637703000379
S52,simple,2,lejos,1,22,140,1,0,1.11257181199926
S52,simple,2,lejos,1,23,130,0,11,0.887849740000092
S52,simple,2,lejos,1,24,140,0,0,0.751179083000352
S52,simple,2,lejos,1,25,150,1,12,0.637868236000031
S52,simple,3,cerca,1,1,20,0,0,0.694181769999886
S52,simple,3,cerca,1,2,40,0,0,0.450999403000424
S52,simple,3,cerca,1,3,60,0,0,0.31615542200052
S52,simple,3,cerca,1,4,80,0,0,0.598353886000041
S52,simple,3,cerca,1,5,100,0,0,0.84977575800076
S52,simple,3,cerca,1,6,120,1,1,0.543165211000087
S52,simple,3,cerca,1,7,100,1,0,0.584107122000205
S52,simple,3,cerca,1,8,80,0,2,0.618754502999764
S52,simple,3,cerca,1,9,100,0,0,0.977945960000397
S52,simple,3,cerca,1,10,110,1,3,0.766410916000495
S52,simple,3,cerca,1,11,100,0,4,0.829513006000525
S52,simple,3,cerca,1,12,110,1,5,1.46112919899952
S52,simple,3,cerca,1,13,100,0,6,1.13588465400062
S52,simple,3,cerca,1,14,110,1,7,1.0627023220004
S52,simple,3,cerca,1,15,100,0,8,0.840976454999691
S52,simple,3,cerca,1,16,110,0,0,1.15594770600001
S52,simple,3,cerca,1,17,120,0,0,1.27869266800008
S52,simple,3,cerca,1,18,130,1,9,4.67157265599963
S52,simple,3,cerca,1,19,120,1,0,0.886252104999585
S52,simple,3,cerca,1,20,110,0,10,0.766811712000163
S52,simple,3,cerca,1,21,120,1,11,0.59065893099978
S52,simple,3,cerca,1,22,110,0,12,0.837053771999308
S52,simple,4,lejos,1,1,220,1,0,0.667810620999262
S52,simple,4,lejos,1,2,200,1,0,0.455159201000242
S52,simple,4,lejos,1,3,180,1,0,0.479731098999764
S52,simple,4,lejos,1,4,160,1,0,0.498647926000558
S52,simple,4,lejos,1,5,140,1,0,0.724673857000198
S52,simple,4,lejos,1,6,120,1,0,0.9375843910002
S52,simple,4,lejos,1,7,100,0,1,0.639006096999765
S52,simple,4,lejos,1,8,120,0,0,1.00516084900028
S52,simple,4,lejos,1,9,140,1,2,0.901245621999806
S52,simple,4,lejos,1,10,120,0,3,0.807613760000095
S52,simple,4,lejos,1,11,130,1,4,1.29652086199985
S52,simple,4,lejos,1,12,120,1,0,1.1800182220004
S52,simple,4,lejos,1,13,110,1,0,0.668066136000562
S52,simple,4,lejos,1,14,100,0,5,0.845432180999524
S52,simple,4,lejos,1,15,110,0,0,0.962592793999647
S52,simple,4,lejos,1,16,120,0,0,1.6231945189993
S52,simple,4,lejos,1,17,130,1,6,0.706951565999589
S52,simple,4,lejos,1,18,120,0,7,0.916707377999955
S52,simple,4,lejos,1,19,130,1,8,0.653013899000143
S52,simple,4,lejos,1,20,120,1,0,0.95096355700025
S52,simple,4,lejos,1,21,110,0,9,1.4204401500001
S52,simple,4,lejos,1,22,120,1,10,1.27327011100078
S52,simple,4,lejos,1,23,110,1,0,1.22444247599924
S52,simple,4,lejos,1,24,100,0,11,0.678223350000735
S52,simple,4,lejos,1,25,110,0,0,1.23894163899968
S52,simple,4,lejos,1,26,120,1,12,1.42393034100041
S53,simple,1,cerca,1,1,20,0,0,0.598749103000955
S53,simple,1,cerca,1,2,40,0,0,0.494444979000036
S53,simple,1,cerca,1,3,60,0,0,0.716467801999897
S53,simple,1,cerca,1,4,80,0,0,0.793881267998586
S53,simple,1,cerca,1,5,100,1,1,0.728550666999581
S53,simple,1,cerca,1,6,80,0,2,1.11279453600037
S53,simple,1,cerca,1,7,100,1,3,0.642943189999642
S53,simple,1,cerca,1,8,90,1,0,0.562606502999188
S53,simple,1,cerca,1,9,80,0,4,1.26278922900019
S53,simple,1,cerca,1,10,90,0,0,1.03548484299972
S53,simple,1,cerca,1,11,100,1,5,0.525428876999285
S53,simple,1,cerca,1,12,90,1,0,0.612607318998926
S53,simple,1,cerca,1,13,80,0,6,0.902191457998924
S53,simple,1,cerca,1,14,90,1,7,0.92108276900035
S53,simple,1,cerca,1,15,80,0,8,0.993017782999232
S53,simple,1,cerca,1,16,90,1,9,0.754731964998427
S53,simple,1,cerca,1,17,80,0,10,1.19142676900083
S53,simple,1,cerca,1,18,90,1,11,0.90935028399872
S53,simple,1,cerca,1,19,80,1,0,1.50430663899897
S53,simple,1,cerca,1,20,70,0,12,0.995587731998967
S53,simple,2,lejos,1,1,220,1,0,0.845148546999553
S53,simple,2,lejos,1,2,200,1,0,0.771768765998786
S53,simple,2,lejos,1,3,180,1,0,0.722208326000327
S53,simple,2,lejos,1,4,160,1,0,0.680326874000457
S53,simple,2,lejos,1,5,140,1,0,1.2559902640005
S53,simple,2,lejos,1,6,120,1,0,2.93276207099916
S53,simple,2,lejos,1,7,100,0,1,0.809024361000411
S53,simple,2,lejos,1,8,120,0,0,0.907203882999966
S53,simple,2,lejos,1,9,140,1,2,1.11347559500064
S53,simple,2,lejos,1,10,120,0,3,2.48466691800058
S53,simple,2,lejos,1,11,130,1,4,0.68343214900051
S53,simple,2,lejos,1,12,120,0,5,2.61299640600009
S53,simple,2,lejos,1,13,130,1,6,0.562699400999918
S53,simple,2,lejos,1,14,120,1,0,0.761221452001337
S53,simple,2,lejos,1,15,110,0,7,1.55419648399948
S53,simple,2,lejos,1,16,120,0,0,0.882209424000393
S53,simple,2,lejos,1,17,130,0,0,0.889274490999014
S53,simple,2,lejos,1,18,140,1,8,1.34075454400045
S53,simple,2,lejos,1,19,130,1,0,1.62345559300047
S53,simple,2,lejos,1,20,120,0,9,0.870923173999472
S53,simple,2,lejos,1,21,130,0,0,0.940772314999776
S53,simple,2,lejos,1,22,140,0,0,1.29483108999921
S53,simple,2,lejos,1,23,150,1,10,1.71384206399853
S53,simple,2,lejos,1,24,140,1,0,0.882134114999644
S53,simple,2,lejos,1,25,130,1,0,2.23638034199939
S53,simple,2,lejos,1,26,120,0,11,0.903212451001309
S53,simple,2,lejos,1,27,130,0,0,1.96064619500066
S53,simple,2,lejos,1,28,140,0,0,2.99464639700091
S53,simple,2,lejos,1,29,150,0,0,1.13274111400096
S53,simple,2,lejos,1,30,160,1,12,0.742306011999972
S53,simple,3,lejos,1,1,220,1,0,0.657392522000009
S53,simple,3,lejos,1,2,200,1,0,0.664154587999292
S53,simple,3,lejos,1,3,180,1,0,0.965672062000522
S53,simple,3,lejos,1,4,160,1,0,0.851583699999537
