Subject,Target,Distance,Trial,Response,RT,OutlierDist,OutlierSubj
S52,3,80,31,0,0.62739862699982,FALSE,FALSE
S52,5,120,32,0,0.922560107000209,FALSE,FALSE
S52,4,100,33,0,1.17112123599964,FALSE,FALSE
S52,7,160,34,1,0.729544595999869,FALSE,FALSE
S52,9,200,35,1,1.3182537190005,TRUE,FALSE
S52,9,200,36,1,0.687141897000402,FALSE,FALSE
S52,8,180,37,1,0.702964142999917,FALSE,FALSE
S52,6,140,38,1,1.18046455600052,FALSE,FALSE
S52,6,140,39,1,0.626049180000336,FALSE,FALSE
S52,8,180,40,1,0.900336843999867,FALSE,FALSE
S52,7,160,41,1,0.933778630000234,TRUE,FALSE
S52,6,140,42,1,1.47516327599988,FALSE,FALSE
S52,5,120,43,0,1.16723279899998,FALSE,FALSE
S52,6,140,44,1,1.48547258500002,FALSE,FALSE
S52,2,60,45,1,0.681514969000091,FALSE,FALSE
S52,2,60,46,0,0.680642745000114,FALSE,FALSE
S52,5,120,47,1,1.10216312499961,FALSE,FALSE
S52,1,40,48,0,0.440149476999977,FALSE,FALSE
S52,6,140,49,1,0.641392978000113,FALSE,FALSE
S52,3,80,50,0,0.616361999999754,FALSE,FALSE
S52,1,40,51,0,0.687603355999272,FALSE,FALSE
S52,8,180,52,1,0.63639149500068,FALSE,FALSE
S52,4,100,53,0,1.14479540399952,FALSE,FALSE
S52,5,120,54,1,0.920739893000246,FALSE,FALSE
S52,3,80,55,0,0.666718532000232,FALSE,FALSE
S52,8,180,56,1,0.779517650999878,FALSE,FALSE
S52,2,60,57,0,0.677110685000116,FALSE,FALSE
S52,7,160,58,1,0.611585349000052,FALSE,FALSE
S52,8,180,59,1,0.610826522000025,FALSE,FALSE
S52,8,180,60,1,0.535552186000132,FALSE,FALSE
S52,3,80,61,0,0.643891716000326,FALSE,FALSE
S52,7,160,62,1,0.607529523000267,FALSE,FALSE
S52,4,100,63,0,1.21436564300075,FALSE,FALSE
S52,2,60,64,0,0.618398894000165,TRUE,FALSE
S52,3,80,65,0,0.71938308100016,FALSE,FALSE
S53,5,120,1,1,1.4699872630008,FALSE,FALSE
