Exp,Subject,Condition,PSE,PSE_ci_inf,PSE_ci_sup,n
1,S01,psy_curve,92.62114825381688,91.33245228174877,99.57130615904605,1
1,S02,psy_curve,105.09980739070696,98.66369216197162,106.71047985888328,1
1,S03,psy_curve,83.58889403011545,77.33742488086105,88.76770892366362,1
1,S04,psy_curve,90.52738703865643,84.40057760568197,97.06452181830754,1
1,S05,psy_curve,58.13154485900891,44.942298326883105,67.02419764463582,1
1,S06,psy_curve,102.3928591653182,97.43755469523501,107.7861049505386,1
1,S07,psy_curve,113.92386689023319,106.25354938777781,121.17634956211747,1
1,S08,psy_curve,121.43598125642993,120.01561716824021,123.06459403528079,1
1,S09,psy_curve,113.70107278949158,106.32475856380438,120.59796423225615,1
1,S10,psy_curve,114.06850443589389,103.11057575693775,126.65292293713946,1
1,S11,psy_curve,100.63747104924691,92.98330130069213,105.46560310672716,1
1,S12,psy_curve,131.38954545741444,121.97399759095157,141.02081651236105,1
1,S13,psy_curve,97.17687384217939,89.05663899775178,103.55124911037049,1
1,S14,psy_curve,89.43370239076879,83.12869976341258,96.47632405860003,1
1,S16,psy_curve,102.54483359153345,96.5414652760977,108.01853243306675,1
1,S17,psy_curve,114.76826457585938,106.25158523326118,124.0591287638668,1
1,S18,psy_curve,95.34312290629474,91.97333439197902,99.0091655003277,1
1,S19,psy_curve,121.91009691163656,109.76518662370972,137.2105900585396,1
1,S20,psy_curve,100.2779720249138,93.56941107971824,106.08134297210509,1
1,S21,psy_curve,92.01282085141587,83.6298947773777,100.70131691390287,1
1,S22,psy_curve,101.8939484977554,91.98280442950744,111.91173693133123,1
1,S23,psy_curve,130.85798092402084,116.82125513937038,146.45071000778648,1
1,S24,psy_curve,105.72379524021807,100.39412496644285,113.28524081333398,1
1,S25,psy_curve,98.79189506580214,93.02685805290162,105.0001778131475,1
2,S51,psy_curve,137.49985620383416,125.44137438886298,153.5620040704585,1
2,S52,psy_curve,109.54252766136304,96.6542843590612,122.65299377242289,1
2,S53,psy_curve,121.2666833030197,110.64689414916707,132.8593305801067,1
2,S54,psy_curve,129.3004076004517,121.10518900958087,139.03966839527988,1
2,S55,psy_curve,150.57273705834984,138.68873020537524,160.55895894557688,1
2,S56,psy_curve,122.90620475883313,111.64161566309464,134.2869997907046,1
2,S57,psy_curve,118.22984235870543,109.43652543636425,120.00807491216065,1
2,S58,psy_curve,143.56364139720586,132.77208604275793,160.74915730847528,1
2,S59,psy_curve,119.33111655968192,111.95787513831354,121.1918098288044,1
2,S60,psy_curve,135.4268410424196,124.606866362253,147.50102234713842,1
2,S61,psy_curve,120.4417651831164,111.96637845347519,133.04122279722566,1
2,S62,psy_curve,144.94657118585175,139.3480817499008,156.05558733929269,1
2,S63,psy_curve,144.9672416478602,127.52561953828842,163.9626672233838,1
2,S65,psy_curve,110.23849665211792,100.65708976599083,119.47530376595263,1
2,S66,psy_curve,116.63149574404123,105.25812348581815,131.543373392685,1
2,S67,psy_curve,109.39189687806005,97.03354808199114,119.41574770843714,1
2,S68,psy_curve,139.58248797679207,126.45922937793114,153.62219447988036,1
2,S69,psy_curve,126.84826036531095,116.58591102132438,135.20667557635983,1
2,S70,psy_curve,153.18928006764875,134.88733034672845,167.8381351798414,1
2,S71,psy_curve,106.79925225226356,95.02514231350072,115.42194376049457,1
2,S72,psy_curve,118.62820231511924,109.2758761325345,120.31231782271635,1
2,S73,psy_curve,170.72152139860782,153.69348633148948,196.3081651986223,1
2,S74,psy_curve,127.93808589197832,117.26142841130448,140.8283969330604,1
2,S75,psy_curve,117.53092294508068,105.2645733640444,128.56371435906195,1
