Subject,Reach
S51,85
S52,95
S53,89
S54,92
S55,88
S56,98
S57,85
S58,83
S59,87
S60,93
S61,91
S62,91
S63,90
S64,91
S65,88
S66,87
S67,88
S68,85
S69,92
S70,78
S71,78
S72,96
S73,85
S74,92
S75,84
