Subject,Target,Distance,Trial,Response,RT
S01,8,121.681025776038,1,1,0.840653430000202
S01,8,121.681025776038,2,1,0.923459564999575
S01,4,69.8124291010485,3,0,0.984590101000322
S01,6,92.1674996131094,4,0,0.989890527000171
S01,5,80.2149426987335,5,0,0.924652636999781
S01,2,52.8795429782462,6,0,0.80474176000007
S01,4,69.8124291010485,7,0,0.782006813999942
S01,8,121.681025776038,8,1,0.893613373000335
S01,3,60.7589445683897,9,0,0.817967116000546
S01,3,60.7589445683897,10,0,0.829935536999983
S01,2,52.8795429782462,11,0,0.889572667000721
S01,10,160.645261030852,12,1,0.930327506999674
S01,5,80.2149426987335,13,0,1.01856879200022
S01,6,92.1674996131094,14,1,1.18881331100056
S01,7,105.901066548623,15,1,1.3722974809998
S01,3,60.7589445683897,16,0,0.939344323999649
S01,6,92.1674996131094,17,0,0.728360842999791
S01,4,69.8124291010485,18,0,0.779248458999973
S01,10,160.645261030852,19,1,0.815447089000372
S01,6,92.1674996131094,20,1,1.33630671599985
S01,10,160.645261030852,21,1,0.727941969999847
S01,8,121.681025776038,22,1,0.81700034700043
S01,5,80.2149426987335,23,0,0.730401994999738
S01,8,121.681025776038,24,1,0.721370655000101
S01,6,92.1674996131094,25,0,0.968189936000272
S01,6,92.1674996131094,26,0,1.39022735500021
S01,3,60.7589445683897,27,0,0.74062622800011
S01,5,80.2149426987335,28,0,1.01994083699992
S01,5,80.2149426987335,29,0,0.984160470999996
S01,3,60.7589445683897,30,0,0.725539729999582
S01,4,69.8124291010485,31,0,0.804896786000427
S01,7,105.901066548623,32,1,0.927283028000602
S01,1,46.0219657443318,33,0,0.968679763000182
S01,6,92.1674996131094,34,0,0.867536878000465
S01,2,52.8795429782462,35,0,0.893472605999705
S01,1,46.0219657443318,36,0,0.859607122999478
S01,5,80.2149426987335,37,0,1.02264586700039
S01,7,105.901066548623,38,1,0.938393626999641
S01,7,105.901066548623,39,1,0.863349362000008
S01,8,121.681025776038,40,1,0.748117739000008
S01,2,52.8795429782462,41,0,0.754511909999565
S01,3,60.7589445683897,42,0,0.954690773000038
S01,9,139.812303279409,43,1,0.737665575000392
S01,9,139.812303279409,44,1,0.686981125000784
S01,7,105.901066548623,45,1,0.851601510999899
S01,4,69.8124291010485,46,0,0.752775838000161
S01,5,80.2149426987335,47,0,0.756694787000015
S01,4,69.8124291010485,48,0,0.803597844000251
S01,4,69.8124291010485,49,0,0.95263174899992
S01,3,60.7589445683897,50,0,0.759271793999687
S01,7,105.901066548623,51,1,0.926713810000365
S01,6,92.1674996131094,52,1,0.920051324000269
S01,8,121.681025776038,53,1,0.795517360999838
S01,7,105.901066548623,54,1,0.763285168000039
S01,5,80.2149426987335,55,0,1.33268798800054
S01,9,139.812303279409,56,1,0.77470837599958
S01,3,60.7589445683897,57,0,0.732810958999835
S01,8,121.681025776038,58,1,0.7681251719996
S01,10,160.645261030852,59,1,0.794263830000091
S01,1,46.0219657443318,60,0,0.834755525000219
S01,7,105.901066548623,61,1,0.871500139000091
S01,9,139.812303279409,62,1,0.749624451000273
S01,4,69.8124291010485,63,0,0.894499590000123
S01,1,46.0219657443318,64,0,0.994738420999965
S01,8,121.681025776038,65,1,0.7367974280005
S02,6,92.1674996131094,1,0,0.913112101000024
S02,3,60.7589445683897,2,0,0.705858878000072
S02,4,69.8124291010485,3,0,0.77576970500013
S02,3,60.7589445683897,4,0,0.782750565000242
S02,3,60.7589445683897,5,0,0.790471347000221
S02,5,80.2149426987335,6,0,0.685170314000061
S02,7,105.901066548623,7,0,1.39342267099983
S02,3,60.7589445683897,8,0,0.682441746999757
S02,6,92.1674996131094,9,0,0.973869887000092
S02,7,105.901066548623,10,0,1.98229460799985
S02,8,121.681025776038,11,1,1.14565192300006
S02,3,60.7589445683897,12,0,0.744611081999665
S02,10,160.645261030852,13,1,0.937686457999916
S02,4,69.8124291010485,14,0,0.779303974999948
S02,5,80.2149426987335,15,0,0.881299017999936
S02,5,80.2149426987335,16,0,0.96986645700008
S02,3,60.7589445683897,17,0,0.900720456000272
S02,2,52.8795429782462,18,0,0.894805730999906
S02,7,105.901066548623,19,1,1.46844355900021
S02,7,105.901066548623,20,1,0.886635220999779
S02,1,46.0219657443318,21,0,0.940565017000154
S02,3,60.7589445683897,22,0,0.827818879000006
S02,7,105.901066548623,23,1,1.70249479299991
S02,6,92.1674996131094,24,0,1.30372382699989
S02,8,121.681025776038,25,1,0.838496563999797
S02,5,80.2149426987335,26,0,1.10021525799993
S02,9,139.812303279409,27,1,0.551954013999875
S02,8,121.681025776038,28,1,0.633922429999984
S02,4,69.8124291010485,29,0,0.769529716999841
S02,9,139.812303279409,30,1,0.697186172999864
S02,7,105.901066548623,31,1,3.87025835199984
S02,5,80.2149426987335,32,0,0.64523071900021
S02,6,92.1674996131094,33,0,0.958363142000053
S02,6,92.1674996131094,34,0,0.894156275999649
S02,5,80.2149426987335,35,0,0.586368473000221
S02,4,69.8124291010485,36,0,0.682440175000011
S02,6,92.1674996131094,37,0,0.789127871000346
S02,10,160.645261030852,38,1,0.737363772999743
S02,3,60.7589445683897,39,0,0.520497187000274
S02,8,121.681025776038,40,1,1.27133140199976
S02,6,92.1674996131094,41,0,0.838781680000011
S02,4,69.8124291010485,42,0,0.607109089999994
S02,7,105.901066548623,43,1,1.13011746799975
S02,4,69.8124291010485,44,0,0.77850891099979
S02,4,69.8124291010485,45,0,1.24089254899991
S02,8,121.681025776038,46,1,0.717230494000432
S02,9,139.812303279409,47,1,0.762241583999639
