Subject,Condition,Block,Start,StairId,BranchStart,Trial,Distance,Response,Reversal,RT
S01,simple,1,near,1,near,1,30.3,0,0,1.19588351000004
S01,simple,1,near,1,near,2,34.9,1,1,0.753086827999994
S01,simple,1,near,1,near,3,30.3,1,0,1.02345267199996
S01,simple,1,near,1,near,4,26.4,1,0,0.950634960999992
S01,simple,1,near,1,near,5,23,1,0,1.31178746299997
S01,simple,1,near,1,near,6,20,0,2,1.20028647000004
S01,simple,1,near,1,near,7,23,0,0,0.888082509000014
S01,simple,1,near,1,near,8,26.4,1,3,1.30918756699998
S01,simple,1,near,1,near,9,23,0,4,1.12966017200006
S01,simple,1,near,1,near,10,24.6,1,5,1.24282612600007
S01,simple,1,near,1,near,11,23,1,0,1.22116556200001
S01,simple,1,near,1,near,12,21.4,1,0,0.991737488000012
S01,simple,1,near,1,near,13,20,1,0,0.847672031000002
S01,simple,1,near,1,near,14,20,0,6,0.906762373999982
S01,simple,1,near,1,near,15,21.4,1,7,0.944514287000061
S01,simple,1,near,1,near,16,20,1,0,0.917736864000062
S01,simple,1,near,1,near,17,20,0,8,1.19049476700002
S01,simple,1,near,1,near,18,21.4,1,9,0.946675109000012
S01,simple,1,near,1,near,19,20,1,0,0.871275645999958
S01,simple,1,near,1,near,20,20,1,0,0.965596101999949
S01,simple,1,near,1,near,21,20,1,0,1.30498395799998
S01,simple,1,near,1,near,22,20,1,0,1.12636670900008
S01,simple,1,near,1,near,23,20,0,10,1.49329348000003
S01,simple,1,near,1,near,24,21.4,0,0,0.726243639000018
S01,simple,1,near,1,near,25,23,0,0,0.91544659200008
S01,simple,1,near,1,near,26,24.6,0,0,0.926762647000032
S01,simple,1,near,1,near,27,26.4,0,0,0.792131803000075
S01,simple,1,near,1,near,28,28.3,0,0,0.867781097999909
S01,simple,1,near,1,near,29,30.3,0,0,0.893961482000009
S01,simple,1,near,1,near,30,32.5,1,11,1.08987627099998
S01,simple,1,near,1,near,31,30.3,0,12,0.968786199999954
S07,dual,1,near,1,near,1,30.3,0,0,0.817460243000824
S07,dual,1,near,1,near,2,34.9,0,0,0.70287651700346
S07,dual,1,near,1,near,3,40.1,0,0,0.675882228999399
S07,dual,1,near,1,near,4,46,0,0,0.776534975000686
S07,dual,1,near,1,near,5,52.9,0,0,0.703373250998993
S07,dual,1,near,1,near,6,60.8,0,0,0.637193232996651
S07,dual,1,near,1,near,7,69.8,0,0,0.733636826000293
S07,dual,1,near,1,near,8,80.2,0,0,0.743964917000994
S07,dual,1,near,1,near,9,92.2,0,0,0.752865096001187
S07,dual,1,near,1,near,10,105.9,0,0,1.20268689799923
S07,dual,1,near,1,near,11,121.7,0,0,0.823358751000342
S07,dual,1,near,1,near,12,139.8,0,0,0.946234003000427
S07,dual,1,near,1,near,13,160.6,0,0,2.38690181899801
S07,dual,1,near,1,near,14,184.6,0,0,0.906352639001852
S07,dual,1,near,1,near,15,212.1,0,0,2.00773283799936
S07,dual,1,near,1,near,16,243.7,0,0,6.86465207999936
S07,dual,1,near,1,near,17,280,1,1,1.34210034900025
S07,dual,1,near,1,near,18,243.7,0,2,1.59760903699862
S07,dual,1,near,1,near,19,280,0,0,1.28041347800172
S07,dual,1,near,1,near,20,280,0,0,1.51456854900243
S07,dual,1,near,1,near,21,280,1,3,2.42376521800179
S07,dual,1,near,1,near,22,261.2,0,4,1.36536954999974
S07,dual,1,near,1,near,23,280,0,0,1.21501995500148
S07,dual,1,near,1,near,24,280,0,0,1.8448399020017
S07,dual,1,near,1,near,25,280,1,5,1.27368921699963
S07,dual,1,near,1,near,26,261.2,0,6,1.6097059019994
S07,dual,1,near,1,near,27,280,0,0,2.35148546100027
S07,dual,1,near,1,near,28,280,0,0,1.92335061599806
S07,dual,1,near,1,near,29,280,0,0,1.83013220800058
S07,dual,1,near,1,near,30,280,0,0,1.43148489400119
S07,dual,1,near,1,near,31,280,0,0,1.11105879800016
S07,dual,1,near,1,near,32,280,0,0,0.873652307000157
S07,dual,1,near,1,near,33,280,0,0,1.01777382
S07,dual,1,near,1,near,34,280,1,7,1.8537634869972
S07,dual,1,near,1,near,35,261.2,1,0,2.73023225699944
S07,dual,1,near,1,near,36,243.7,0,8,0.692953822999698
S07,dual,1,near,1,near,37,261.2,0,0,2.32100531499964
S07,dual,1,near,1,near,38,280,0,0,0.701858291999088
S07,dual,1,near,1,near,39,280,0,0,2.02119719300026
S07,dual,1,near,1,near,40,280,0,0,0.682165463000274
S07,dual,1,near,1,near,41,280,0,0,1.24455068000316
S07,dual,1,near,1,near,42,280,1,9,6.7528175610023
S07,dual,1,near,1,near,43,261.2,0,10,0.721315156999481
S07,dual,1,near,1,near,44,280,0,0,1.53050135800004
S07,dual,1,near,1,near,45,280,1,11,1.32566578499973
S07,dual,1,near,1,near,46,261.2,0,12,1.50840451200202
S07,dual,1,near,2,far,1,280,1,0,3.20979444400291
S07,dual,1,near,2,far,2,243.7,0,1,2.11341617600192
S07,dual,1,near,2,far,3,280,1,2,3.29699774899927
S07,dual,1,near,2,far,4,243.7,0,3,2.64394433299822
S07,dual,1,near,2,far,5,261.2,1,4,2.61038591800025
S07,dual,1,near,2,far,6,243.7,1,0,0.874065615000291
S07,dual,1,near,2,far,7,227.3,0,5,2.41032196100059
S07,dual,1,near,2,far,8,243.7,1,6,4.1070233490027
S07,dual,1,near,2,far,9,227.3,0,7,2.87108990900015
S07,dual,1,near,2,far,10,243.7,0,0,1.22212605700042
S07,dual,1,near,2,far,11,261.2,0,0,3.66461993800112
S07,dual,1,near,2,far,12,280,0,0,1.00702583399834
S07,dual,1,near,2,far,13,280,0,0,1.60986924900135
S07,dual,1,near,2,far,14,280,0,0,2.53050394800084
S07,dual,1,near,2,far,15,280,1,8,1.65971617800096
S07,dual,1,near,2,far,16,261.2,1,0,2.33567401600158
S07,dual,1,near,2,far,17,243.7,0,9,4.02359879199867
S07,dual,1,near,2,far,18,261.2,0,0,2.4643062590003
S07,dual,1,near,2,far,19,280,0,0,1.07310585999949
S07,dual,1,near,2,far,20,280,0,0,1.03473511599805
S07,dual,1,near,2,far,21,280,1,10,0.939321326997742
S07,dual,1,near,2,far,22,261.2,0,11,1.02608600200256
S07,dual,1,near,2,far,23,280,0,0,1.26786915399862
S07,dual,1,near,2,far,24,280,0,0,7.23866613599967
S07,dual,1,near,2,far,25,280,0,0,1.10206510200078
S07,dual,1,near,2,far,26,280,1,12,4.40810462700028
S07,dual,2,far,1,far,1,280,0,0,1.07746904400119
S07,dual,2,far,1,far,2,280,0,0,2.68002771399915
S07,dual,2,far,1,far,3,280,1,1,3.28230723899833
S07,dual,2,far,1,far,4,243.7,0,2,1.50639077999949
S07,dual,2,far,1,far,5,280,0,0,3.48445071499737
S07,dual,2,far,1,far,6,280,0,0,2.06263104100071
S07,dual,2,far,1,far,7,280,0,0,1.54994495199935
S07,dual,2,far,1,far,8,280,1,3,3.45766212499802
S07,dual,2,far,1,far,9,261.2,0,4,2.15807187800237
S07,dual,2,far,1,far,10,280,0,0,2.80377756399685
S07,dual,2,far,1,far,11,280,0,0,2.34841248899829
S07,dual,2,far,1,far,12,280,0,0,3.71888447400124
S07,dual,2,far,1,far,13,280,0,0,1.5724795189999
S07,dual,2,far,1,far,14,280,1,5,1.09089226200012
S07,dual,2,far,1,far,15,261.2,0,6,1.34653248000177
S07,dual,2,far,1,far,16,280,0,0,1.16056642700278
S07,dual,2,far,1,far,17,280,0,0,0.679007563001505
S07,dual,2,far,1,far,18,280,0,0,0.785684249000042
S07,dual,2,far,1,far,19,280,0,0,0.88373219999994
S07,dual,2,far,1,far,20,280,1,7,1.46569281200209
S07,dual,2,far,1,far,21,261.2,0,8,0.882432517999405
S07,dual,2,far,1,far,22,280,1,9,1.18584982399989
S07,dual,2,far,1,far,23,261.2,0,10,0.698117537998769
